,Date,Amount(DOP),Description
142,  21/06/2023   ,325.0,  TAQUERIA LOS SOCIOS RD SANTO DOMINGO DO   
143,  22/06/2023   ,400.0,  EL SITIO BAR SANTO DOMINGO DO   
144,  20/06/2023   ,350.0,  HIPER OLE VILLA MELLA SANTO DOMINGO DO   
145,  19/06/2023   ,684.0,  MERCADAL VILLA MELLA SANTO DOMINGO DO   
146,  16/06/2023   ,2010.01,  PAPA JOHNS SAMBIL SANTO DOMINGO DO   
147,  07/06/2023   ,4000.0,  AVANCE EFECT BANCA MOV   
148,  09/06/2023   ,1841.68,  HIPER OLE VILLA MELLA SANTO DOMINGO DO   
149,  09/06/2023   ,500.0,  TROPIGAS CHARLES DE GA SANTO DOMINGO DO   
150,  07/06/2023   ,250.0,  CARGO AVANCE DE EFECTIVO BANCA MOVIL   
151,  07/06/2023   ,150.0,  HELADOS BON SIRENA VIL SANTO DOMINGO DO   
152,  07/06/2023   ,3638.32,  ALTICE -APP ECOMM SANTO DOMINGO DO   
153,  05/06/2023   ,235.0,  CRUNCHYROLL *DOP 415-503-9235 CA   
154,  02/06/2023   ,62.5,  CARGO POR ADELANTO DE EFECTIVO   
155,  05/06/2023   ,450.0,  TAQUERIA LOS SOCIOS RD SANTO DOMINGO DO   
156,  02/06/2023   ,1000.0,  ADELANTO DE EFECTIVO   
157,  23/05/2023   ,100.0,  HELADOS BON SIRENA VIL SANTO DOMINGO DO   
158,  23/05/2023   ,971.27,  LA SIRENA VILLA MELLA SANTO DOMINGO DO   
159,  23/05/2023   ,190.0,  LA SIRENA VILLA MELLA SANTO DOMINGO DO   
160,  18/05/2023   ,400.0,  ADELANTO DE EFECTIVO   
161,  18/05/2023   ,25.0,  CARGO POR ADELANTO DE EFECTIVO   
162,  15/05/2023   ,18.75,  CARGO AVANCE DE EFECTIVO BANCA MOVIL   
163,  15/05/2023   ,300.0,  AVANCE EFECT BANCA MOV   
164,  15/05/2023   ,678.0,  UBER *EATS HELP.UBER.COM NL   
165,  08/05/2023   ,3.91,  CARGO POR ADELANTO DE EFECTIVO   
166,  08/05/2023   ,3.91,  CARGO POR ADELANTO DE EFECTIVO   
167,  08/05/2023   ,62.5,  AJUSTE REV PROMO SEMANA SANTA   
168,  08/05/2023   ,62.5,  AJUSTE REV PROMO SEMANA SANTA   
169,  08/05/2023   ,233.26,  DIDIDM PENDING SG SG   
170,  08/05/2023   ,1500.0,  SUPER TIENDA ENZE SANTO DOMINGO DO   
171,  08/05/2023   ,829.33,  MERCADAL LOS GUARICANO SANTO DOMINGO DO   
172,  05/05/2023   ,235.0,  CRUNCHYROLL *MEMBERSHI 415-503-9235 CA   
173,  05/05/2023   ,107.25,  UBER *TRIP HELP.UBER.COM NL   
174,  03/05/2023   ,1795.0,  APPLEBEES DTC SANTO DOMINGO DO   
